Clinics,Description,Category,City,Country,rating,Review,Address,Phone_number,Availability,Site_url,Status_working,
"Медицинский центр Алгамед | анализ на коронавирус, УЗИ, справки Алматы",· Medical centre,Plastic surgery clinic,Almaty,Kazakhstan,3.3,-93,Алматы,· 8 (727) 339 0350,Open 24 hours,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiFko6QkOiLAxWNVpEFHRRiJ38YABAHGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWo57aCJQji_y79KgcXpDKspmcWWV-5g0sGa9wnOUWkTrLSXUKcmLs8aAoL4EALw_wcB&ohost=www.google.com&cid=CAESVeD2fyPdBqU4pZfwCAiW7DFjwiTxkeDJkxWFXcc802jAEok46YAZDCQIjEDqVpdvfLbHtSSF2Amtuy4G-S9P4-h9H2wRfZGp3XinKkr74zPusCLLVv4&sig=AOD64_1DgIN2nwNu_hqgL9QTy78kYjqFJQ&q=&ctype=99&ved=2ahUKEwjx8YmQkOiLAxXEgSoKHTTiH2kQhKwBegQIJxAP&adurl=,· Point of interest,
Клиника пластической хирургии и косметологии AMIRA CLINIC,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,4.4,-35,Ulitsa Katayeva 160,· 8 (705) 275 1595,⋅ Closes 6 PM,http://amiraclinic.kz/,Open,
Al-Clinic,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,3.3,-32,Kabanbay Batyr St 134,· 8 (7272) 22 10 01,⋅ Closes 6 PM,http://al-clinic.kz/,Open,
Klinika Oksany Malitskoy,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,3.8,-41,Baytursynova St 74,· 8 (775) 634 7911,⋅ Closes 5 PM,https://clinicmalitskaya.kz/,Open,
SAKURA - Клиника пластической хирургии и косметологии,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,3.9,-19,Ulitsa Zhandarbekova 238/91,· 8 (775) 888 0799,⋅ Closes 7 PM,,Open,
"Клиника пластической хирургии ""Talayeva Clinic""",· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,5,-5,Markov St 71,· 8 (705) 808 0130,⋅ Opens 9 AM Mon,http://talayeva.kz/,Closed,
Dr. Sutaykin Plastic Surgery Clinic,· Plastic surgeon,Plastic surgery clinic,Almaty,Kazakhstan,4.3,-6,Markov St 71,· 8 (708) 184 8383,⋅ Opens 10 AM Mon,https://sutaikin.kz/,Closed,
Пластический хирург | Dr.Globa: Глоба Виктор Сергеевич,· Plastic surgeon,Plastic surgery clinic,Almaty,Kazakhstan,5,-1,Dostyk Ave 97б,· 8 (7272) 64 64 66,⋅ Closes 8 PM,,Open,
Quantum clinic,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,5,-7,Almaty,· 8 (701) 924 2427,⋅ Closes 8 PM,http://www.quantummed.kz/,Open,
Nadialan Estetik,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,4.6,-11,"ул Шопена 26 уг, Baikadamov St",· 8 (707) 328 4182,⋅ Opens 9 AM Mon,https://nadialan.kz/,Closed,
