Clinics,Description,Category,City,Country,rating,Review,Address,Phone_number,Availability,Site_url,Status_working
Institut Français du Sein - Centre expert de traitement du cancer du sein. Paris,· Cancer treatment center,Oncological clinics,Paris,France,4.9,-143,"Paris, France",· +33 1 75 43 38 38,,http://www.ifsein.com/,⋅ Opens 2 PM Mon
L'Institut du Sein Paris,· Cancer treatment center,Oncological clinics,Paris,France,4.7,-180,"Paris, France",· +33 1 45 63 00 00,,https://www.idsein.fr/?utm_source=google&utm_medium=organic&utm_campaign=gmb,⋅ Opens 9 AM Mon
Institut Curie Hospital,· Cancer treatment center,Oncological clinics,Paris,France,3.8,-237,"Paris, France",· +33 1 56 24 55 00,,http://www.curie.fr/,⋅ Opens 8 AM Mon
Docteur Daniel Zarca. Chirurgien Cancer du Sein. Paris,· Cancer treatment center,Oncological clinics,Paris,France,4.6,-11,"Paris, France",· +33 1 45 53 52 53,,http://www.ifsein.com/,⋅ Opens 2:30 PM Mon
Hartmann Oncology Radiotherapy Group,· Cancer treatment center,Oncological clinics,Paris,France,4.8,-152,"Levallois-Perret, France",· +33 1 84 00 84 00,,https://horg.fr/?utm_source=google&utm_medium=GMB&utm_campaign=lien-fiche,⋅ Opens 7:30 AM Mon
Gustave Roussy,· Cancer treatment center,Oncological clinics,Paris,France,3.7,-638,"Villejuif, France",· +33 1 42 11 42 11,,https://www.gustaveroussy.fr/,
Alliance Mondiale Contre le Cancer,· Cancer treatment center,Oncological clinics,Paris,France,5,-1,"Paris, France",,,https://cancer-amcc.org/,
Clinical Center of the Porte de Saint-Cloud,· Medical clinic,Oncological clinics,Paris,France,4.5,-41,"Boulogne-Billancourt, France",ю+33 1 41 10 27 27,,http://www.clinique-saint-cloud.com/,
Institut de Cancérologie Paris Nord - ELSAN,· Cancer treatment center,Oncological clinics,Paris,France,4.4,-27,"Sarcelles, France",· +33 1 39 90 49 55,,https://www.elsan.care/fr/institut-cancerologie-paris-nord,⋅ Opens 8 AM Mon
Réseau Cancer VIH Hôpital de la Pitié-Salpêtrière,· Cancer treatment center,Oncological clinics,Paris,France,5,-1,"Paris, France",,,http://cancervih.org/,
Dépistage des cancers Ile-de-France (CRCDC-IDF),· Cancer treatment center,Oncological clinics,Paris,France,5,-5,"Paris, France",· +33 800 73 24 25,,https://www.depistage-cancers-idf.org/,⋅ Opens 8 AM Mon
Docteur Marc Bollet,· Cancer treatment center,Oncological clinics,Paris,France,5,-3,"Paris, France",· +33 1 75 43 38 38,,https://www.doctolib.fr/cancerologue-radiotherapeute/paris/marc-bollet-paris,⋅ Opens 5 PM Tue
Dr Nathalie Garnier-Viougeat,· Oncologist,Oncological clinics,Paris,France,4.7,-31,"Paris, France",· +33 7 81 21 19 69,,http://drnathaliegarnierviougeat.com/,⋅ Opens 9 AM Mon
Centre de radiothérapie des Peupliers - Ramsay Santé,· Cancer treatment center,Oncological clinics,Paris,France,4.9,-33,"Paris, France",· +33 1 44 16 53 63,,https://hopital-prive-des-peupliers-paris.ramsaygds.fr/vous-%C3%AAtes-patient-pourquoi-choisir-l%E2%80%99h%C3%B4pital-priv%C3%A9-des-peupliers-nos-prises-en-charge/linstitut-de-canc%C3%A9rologie-les-peupliers,⋅ Opens 8 AM Mon
Clinique Internationale du Parc Monceau,· Medical clinic,Oncological clinics,Paris,France,4.2,(1.2K),"Paris, France",· +33 1 48 88 25 25,,http://www.clinique-monceau.com/,
Dr Julien Seror,· Surgeon,Oncological clinics,Paris,France,5,-40,"Paris, France",· +33 1 89 16 85 85,,http://www.institutbourdonnais.fr/,⋅ Opens 9 AM Mon
