Clinics,Description,Category,City,Country,rating,Review,Address,Phone_number,Availability,Site_url,Status_working
ARDAME - Ästhetische Chirurgie & Lasermedizin,· Doctor,Plastic surgery clinic,Berlin,Germany,5,-187,59-61 Knesebeckstraße,.+49 30 60936280,Closed,https://lh5.googleusercontent.com/p/AF1QipOELnX4aL2OqdFwMjoJQFPp9J6cwrQWjOMoM2w=k-no-n-w90-h128,⋅ Opens 9 AM Mon
Dr. med. Henning Becker ️ •• Aesthetic Clinic Med Centrum Berlin,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,5,-30,Kurfürstendamm 214,.+49 30 346556195,Closed,,⋅ Opens 9 AM Mon
Aesthetic Clinic Med - Centrum Berlin,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,4.6,-11,Kurfürstendamm 214,.+49 30 79789177,Closed,,⋅ Opens 9 AM Mon
Plastische Chirurgie Berlin - Dr. Ahrens | Aestheticum,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,4.9,-131,Tauentzienstraße 5,.+49 30 67828181,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 10 AM Mon
Beauty Berlin cosmetic surgery Dr. Thomas Lorentzen,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,4.9,-94,Kurfürstendamm 103,.+49 30 347474100,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 9 AM Mon
Meine Schönheitschirurgie Berlin,· Skin care clinic,Plastic surgery clinic,Berlin,Germany,5,-600,Rankestraße 8,.+49 30 65015765,Closes soon,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ 6 PM
Metropolitan Aesthetics - Plastische Chirurgie Berlin,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,4.9,-107,Charlottenstraße 62,.+49 30 27875656,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 8 AM Mon
Sinis Klinik Berlin GmbH,· Plastic surgery clinic,Plastic surgery clinic,Berlin,Germany,4.8,-454,Rheinbabenallee 18,.+49 30 92123893,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 8 AM Mon
Aesthetic Clinic,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,4.5,-40,Kurfürstendamm 200,.+49 30 22667670,Closed,,⋅ Opens 10 AM Mon
Tauentzien Medical - Plastische Chirurgie Berlin,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,4.9,-88,Tauentzienstraße 3,.+49 30 88922750,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 9 AM Mon
Aesthetics Berlin - Dr. Niklas Noack,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,5,-41,Alte Schönhauser Str. 23,.+49 30 47377024,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 10 AM Mon
Plastische Chirurgie Berlin Praxis Dr. med. Olaf Kauder,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,4.9,-52,Kurfürstendamm 48,.+49 30 21478759,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 9 AM Mon
Dr. Rainer John -. Practice for Aesthetic surgery,· Surgeon,Plastic surgery clinic,Berlin,Germany,4.8,-73,Dorotheenstraße 83,.+49 30 8823420,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 9 AM Mon
JJPS Plastische Chirurgie Berlin-Mitte,· Plastic surgery clinic,Plastic surgery clinic,Berlin,Germany,4.9,-156,Münzstraße 5,.+49 30 20839109,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 8 AM Mon
Ästhetik Berlin - Dr. Kai Block,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,5,-18,Alte Schönhauser Str. 23,.+49 30 88001855,Closed,,⋅ Opens 9 AM Mon
Privatpraxis Balgon Aesthetics - Shadha Balgon,· Plastic surgeon,Plastic surgery clinic,Berlin,Germany,5,-199,"Ars Vitae Medical Center, Taubenstraße 20/1. OG",.+49 30 88922750,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 10 AM Mon
Stunning You — Plastische & Ästhetische Chirurgie. Dr. med. univ. Kamil Akhundov,· Plastic surgery clinic,Plastic surgery clinic,Berlin,Germany,4.8,-170,Gertraudenstraße 18,.+49 30 21019622,Closed,https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Opens 9 AM Mon
